"t","DHbO2","DHHb","DHbT","Zero","Pulse","Ideal_DHbO2","Ideal_DHHb","Ideal_DHbT","Invert_DHHb","Invert_DHbO2","Invert_Ideal_DHHb"
0.1,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0
0.3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
0.4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
0.5,0,0,0,0,0,0,0,0,0,0,0
0.6,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
0.7,0,0,0,0,0,0,0,0,0,0,0
0.8,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
0.9,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
1,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
1.1,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
1.2,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
1.3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
1.4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
1.5,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
1.6,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
1.7,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
1.8,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
1.9,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
2,0,0,0,0,0,0,0,0,0,0,0
2.1,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
2.2,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
2.3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
2.4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
2.5,0,0,0,0,0,0,0,0,0,0,0
2.6,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
2.7,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
2.8,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
2.9,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
3.1,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
3.2,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
3.3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
3.4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
3.5,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
3.6,0,0,0,0,0,0,0,0,0,0,0
3.7,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
3.8,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
3.9,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
4.1,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
4.2,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
4.3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
4.4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
4.5,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
4.6,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
4.7,0,0,0,0,0,0,0,0,0,0,0
4.8,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
4.9,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
5,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
5.1,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
5.2,0,0,0,0,0,0,0,0,0,0,0
5.3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
5.4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
5.5,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
5.6,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
5.7,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
5.8,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
5.9,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
5.99999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
6.09999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
6.19999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
6.29999999999999,0,0,0,0,0,0,0,0,0,0,0
6.39999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
6.49999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
6.59999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
6.69999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
6.79999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
6.89999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
6.99999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
7.09999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
7.19999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
7.29999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
7.39999999999999,0,0,0,0,0,0,0,0,0,0,0
7.49999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
7.59999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
7.69999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
7.79999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
7.89999999999999,0,0,0,0,0,0,0,0,0,0,0
7.99999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
8.09999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
8.19999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
8.29999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
8.39999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
8.49999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
8.59999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
8.69999999999999,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
8.79999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
8.89999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
8.99999999999998,0,0,0,0,0,0,0,0,0,0,0
9.09999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
9.19999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
9.29999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
9.39999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
9.49999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
9.59999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
9.69999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
9.79999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
9.89999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
9.99999999999998,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
10.1,0,0,0,0,0,0,0,0,0,0,0
10.2,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
10.3,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
10.4,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
10.5,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
10.6,0,0,0,0,0,0,0,0,0,0,0
10.7,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
10.8,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
10.9,1.4210854715202e-14,-1.4210854715202e-14,0,0,0,0,0,0,1.4210854715202e-14,-1.4210854715202e-14,0
