"SaO2sup","P_a","HHb_d","HbO2_d","HbT_d","CCO_d","_PCr_d","_P_d","_ATP_d","ignore","ignore"
1.0,49.49987787,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.03,7.02
1.0,49.4780179667,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.03,7.02
1.0,49.4561580633,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.03,7.02
1.0,49.4342981599,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.03,7.02
1.0,49.4124382565,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.03,7.02
1.0,49.3905783532,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.01878472223,7.02
1.0,49.3890083048,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.01915432099,7.02
1.0,49.388645986,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.01969290124,7.02
1.0,49.3882836672,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.02040046297,7.02
1.0,49.3879213483,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.02143317902,7.02
1.0,49.3875590295,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.02315308642,7.02
1.0,49.3871967106,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.02547222223,7.02
1.0,49.3868343918,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.0283095679,7.02
1.0,49.3864720729,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.03151080247,7.02
1.0,49.3861097541,0.0,0.0,0.0,0.0,5.85,1.0,3.0,7.03442557319,7.02
1.0,49.3857474352,0.0,-0.0360187353625,-0.172482435595,0.0112358995485,5.85335974945,1.00568849079,3.0,7.03705388007,7.02
1.0,49.3853851164,0.0,-0.042271662763,-0.17817690506,0.0112658755677,5.85129961765,1.00711470588,3.0,7.03939572311,7.02
1.0,49.3850227976,0.0,-0.0490248003357,-0.184371584697,0.0112958515869,5.84898575926,1.00877720737,3.0,7.04145110229,7.02
