"CCO_d","Hbdiff_d","HbT_d","HbO2_d","HHb_d","LacNaa_d","NaaCr_d","SaO2sup","P_a","rocc","nadir_s","endhi_s","lin_s"
0.0,0.0,0.0,0.0,0.0,0.0438063956,2.2069350527,0.956,59.5,0.0,0.0,0.0,0.0
0.016399999999999998,-0.022099999999999998,-0.0603,-0.041199999999999994,-0.019100000000000002,0.04509985879,2.21368908096,0.956,59.5,0.0,0.0,0.0,0.0
0.032799999999999996,-0.044199999999999996,-0.1206,-0.08239999999999999,-0.038200000000000005,0.04639332198,2.22044310922,0.956,59.5,0.0,0.0,0.0,0.0
0.0492,-0.0663,-0.1809,-0.12359999999999999,-0.057300000000000004,0.047686785169999996,2.22719713748,0.956,59.5,0.0,0.0,0.0,0.0
0.06559999999999999,-0.08839999999999999,-0.2412,-0.16479999999999997,-0.07640000000000001,0.04898024836,2.23395116574,0.956,59.5,0.0,0.0,0.0,0.0
0.082,-0.1105,-0.3015,-0.206,-0.0955,0.05027371155,2.2407051940000002,0.956,59.5,0.0,0.0,0.0,0.0
0.0984,-0.1326,-0.3618,-0.24719999999999998,-0.11460000000000001,0.05156717474,2.24745922226,0.956,59.5,0.0,0.0,0.0,0.0
0.1148,-0.1547,-0.4221,-0.2884,-0.1337,0.052860637929999996,2.25421325052,0.956,59.5,0.0,0.0,0.0,0.0
0.13119999999999998,-0.17679999999999998,-0.4824,-0.32959999999999995,-0.15280000000000002,0.05415410112,2.26096727878,0.956,59.5,0.0,0.0,0.0,0.0
0.1476,-0.1989,-0.5427,-0.37079999999999996,-0.17190000000000003,0.05544756431,2.26772130704,0.956,59.5,0.0,0.0,0.0,0.0
0.164,-0.221,-0.603,-0.412,-0.191,0.0567410275,2.2744753353,0.956,59.5,0.0,0.0,0.0,0.0
0.1683,-0.2231,-0.6039,-0.4135,-0.1904,0.05569663089,2.24154579336,0.956,59.5,0.0,0.0,0.0,0.0
0.1726,-0.2252,-0.6048,-0.415,-0.1898,0.054652234279999996,2.20861625142,0.956,59.5,0.0,0.0,0.0,0.0
0.1769,-0.2273,-0.6057,-0.4165,-0.1892,0.05360783767,2.17568670948,0.956,59.5,0.0,0.0,0.0,0.0
0.1812,-0.2294,-0.6066,-0.418,-0.1886,0.05256344106,2.14275716754,0.956,59.5,0.0,0.0,0.0,0.0
0.1855,-0.23149999999999998,-0.6074999999999999,-0.4195,-0.188,0.051519044449999996,2.1098276256,0.956,59.5,0.0,0.0,0.0,0.0
0.1898,-0.2336,-0.6083999999999999,-0.421,-0.1874,0.05047464784,2.07689808366,0.956,59.5,0.0,0.0,0.0,0.0
0.1941,-0.2357,-0.6093,-0.4225,-0.1868,0.04943025123,2.04396854172,0.956,59.5,0.0,0.0,0.0,0.0
0.1984,-0.23779999999999998,-0.6102,-0.424,-0.1862,0.04838585462,2.0110389997800002,0.956,59.5,0.0,0.0,0.0,0.0
0.2027,-0.2399,-0.6111,-0.4255,-0.1856,0.047341458010000004,1.97810945784,0.956,59.5,0.0,0.0,0.0,0.0
0.207,-0.242,-0.612,-0.427,-0.185,0.0462970614,1.9451799159,0.956,59.5,0.0,0.0,0.0,0.0
0.2054,-0.27699999999999997,-0.5784,-0.42769999999999997,-0.1507,0.04386653353,1.97855874153,0.956,59.5,0.0,0.0,0.0,0.0
0.20379999999999998,-0.312,-0.5448,-0.4284,-0.1164,0.04143600566,2.01193756716,0.956,59.5,0.0,0.0,0.0,0.0
0.2022,-0.347,-0.5112,-0.4291,-0.0821,0.03900547779,2.04531639279,0.956,59.5,0.0,0.0,0.0,0.0
0.2006,-0.382,-0.4776,-0.4298,-0.04780000000000001,0.03657494992,2.07869521842,0.956,59.5,0.0,0.0,0.0,0.0
0.199,-0.417,-0.444,-0.4305,-0.013500000000000012,0.03414442205,2.11207404405,0.956,59.5,0.0,0.0,0.0,0.0
0.1974,-0.45199999999999996,-0.4104,-0.43119999999999997,0.020799999999999985,0.03171389418,2.14545286968,0.956,59.5,0.0,0.0,0.0,0.0
0.1958,-0.487,-0.3768,-0.4319,0.05509999999999998,0.02928336631,2.17883169531,0.956,59.5,0.0,0.0,0.0,0.0
