"HHb_d","HbO2_d","CCO_d","HbT_d","Hbdiff_d","SaO2sup","P_a","rocc","PCrPi_d","PCrEPP_d","PiEPP_d","PmeEPP_d","NTPEPP_d","PCrNTP_d","nadir_s","endhi_s","lin_s"
0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.2378466036,0.3274386361,0.2645227892,0.3929126454,0.1932650991,1.6942460781,0.0,0.0,0.0
0.17728,-0.22555999999999998,-0.0342,-0.04828,-0.40284000000000003,1.0,50.0,0.0,1.21102450079,0.32446162205,0.26876983414,0.39366276126,0.19500419563000002,1.66612691836,0.0,0.0,0.0
0.35456,-0.45111999999999997,-0.0684,-0.09656,-0.8056800000000001,1.0,50.0,0.0,1.18420239798,0.321484608,0.27301687908,0.39441287712,0.19674329216,1.63800775862,0.0,0.0,0.0
0.53184,-0.67668,-0.1026,-0.14484000000000002,-1.20852,1.0,50.0,0.0,1.15738029517,0.31850759395,0.27726392402,0.39516299297999996,0.19848238869,1.60988859888,0.0,0.0,0.0
0.70912,-0.9022399999999999,-0.1368,-0.19312,-1.6113600000000001,1.0,50.0,0.0,1.1305581923599999,0.3155305799,0.28151096896,0.39591310883999997,0.20022148522,1.58176943914,0.0,0.0,0.0
0.8864,-1.1278,-0.171,-0.2414,-2.0142,1.0,50.0,0.0,1.10373608955,0.31255356585000005,0.2857580139,0.3966632247,0.20196058175,1.5536502794,0.0,0.0,0.0
1.06368,-1.35336,-0.2052,-0.28968000000000005,-2.41704,1.0,50.0,0.0,1.07691398674,0.30957655180000004,0.29000505884,0.39741334056,0.20369967828000002,1.52553111966,0.0,0.0,0.0
1.2409599999999998,-1.5789199999999999,-0.2394,-0.33796000000000004,-2.8198800000000004,1.0,50.0,0.0,1.05009188393,0.30659953775000004,0.29425210378,0.39816345642,0.20543877481,1.49741195992,0.0,0.0,0.0
1.41824,-1.8044799999999999,-0.2736,-0.38624,-3.2227200000000003,1.0,50.0,0.0,1.02326978112,0.30362252370000004,0.29849914872,0.39891357227999996,0.20717787134,1.46929280018,0.0,0.0,0.0
1.59552,-2.03004,-0.3078,-0.43452,-3.62556,1.0,50.0,0.0,0.99644767831,0.30064550965000003,0.30274619366,0.39966368814,0.20891696787,1.4411736404400002,0.0,0.0,0.0
1.7728,-2.2556,-0.342,-0.4828,-4.0284,1.0,50.0,0.0,0.9696255755,0.2976684956,0.3069932386,0.400413804,0.2106560644,1.4130544807,0.0,0.0,0.0
1.90888,-2.38711,-0.34554,-0.47823,-4.295990000000001,1.0,50.0,0.0,1.0058476756899999,0.29933316503,0.29989386951,0.40595547388,0.21313621532000002,1.4052402536100002,0.0,0.0,0.0
