"HHb_d","HbO2_d","CCO_d","HbT_d","Hbdiff_d","SaO2sup","P_a","rocc","PCrPi_d","PCrEPP_d","PiEPP_d","PmeEPP_d","NTPEPP_d","PCrNTP_d","nadir_s","endhi_s","lin_ss","pH_d","pH_atp","t","pH_f"
0,0,0,0,0,0.98,50,0,1.658,0.3193,0.1926,0.4946,0.265,1.205,0,0,0,7.052,7.236,6,7.05042555961185
-0.01137,-0.00183,0.00685,-0.0132,0.00954,0.98,50,0,1.611,0.3176,0.1987,0.4896,0.2625,1.21,0,0,0,7.052,7.234,12,7.05041048400664
-0.02274,-0.00366,0.0137,-0.0264,0.01908,0.98,50,0,1.565,0.3159,0.2048,0.4846,0.26,1.216,0,0,0,7.052,7.231,18,7.05040559000922
-0.03411,-0.00549,0.02055,-0.0396,0.02862,0.98,50,0,1.518,0.3142,0.211,0.4796,0.2574,1.222,0,0,0,7.052,7.229,24,7.05041183967236
-0.04548,-0.00732,0.0274,-0.0528,0.03816,0.98,50,0,1.471,0.3125,0.2171,0.4746,0.2549,1.227,0,0,0,7.052,7.226,30,7.05043021021616
-0.05685,-0.00915,0.03425,-0.066,0.0477,0.98,50,0,1.424,0.3108,0.2233,0.4696,0.2524,1.233,0,0,0,7.052,7.224,36,7.05046168965935
-0.06822,-0.01098,0.0411,-0.0792,0.05724,0.98,50,0,1.378,0.3091,0.2294,0.4647,0.2499,1.239,0,1,1,7.051,7.221,42,7.05050727208248
-0.07959,-0.01281,0.04795,-0.0924,0.06678,0.98,50,0,1.331,0.3074,0.2355,0.4597,0.2473,1.244,0,1,1,7.051,7.219,48,7.05056795254966
-0.09096,-0.01464,0.0548,-0.1056,0.07632,0.98,50,0,1.284,0.3057,0.2417,0.4547,0.2448,1.25,0,1,1,7.051,7.216,54,7.05064472175148
-0.1023,-0.01647,0.06165,-0.1188,0.08586,0.98,50,0,1.237,0.3041,0.2478,0.4497,0.2423,1.255,0,1,1,7.051,7.214,60,7.05073856045369
-0.1137,-0.0183,0.0685,-0.132,0.0954,0.98,50,0,1.191,0.3024,0.2539,0.4447,0.2398,1.261,0,1,1,7.051,7.212,66,7.05085043382125
-0.1126,9e-04,0.06482,-0.1117,0.1135,0.98,50,0,1.212,0.3023,0.25,0.4422,0.2436,1.243,0,1,1,7.051,7.206,72,7.05098128565799
-0.1115,0.0201,0.06114,-0.09144,0.1316,0.98,50,0,1.233,0.3022,0.2461,0.4396,0.2474,1.226,0,1,1,7.052,7.201,78,7.05113203258437
-0.1105,0.0393,0.05746,-0.07116,0.1497,0.98,50,0,1.255,0.3022,0.2422,0.4371,0.2512,1.208,0,1,1,7.052,7.196,84,7.05130355815748
