"HHb_d","HbO2_d","CCO_d","HbT_d","Hbdiff_d","SaO2sup","P_a","rocc","PCrPi_d","PCrEPP_d","PiEPP_d","PmeEPP_d","NTPEPP_d","PCrNTP_d","nadir_s","endhi_s","lin_s"
0,0,0,0,0,0.98,50,0,1.6579826927,0.3192609617,0.192559888,0.4945859581,0.2649963091,1.2047751259,0,0,0
-0.01137,-0.00183,0.00685,-0.0132,0.00954,0.98,50,0,1.61124735518,0.31757088927,0.19869889267,0.48959793857,0.26247457302,1.2103971894,0,0,0
-0.02274,-0.00366,0.0137,-0.0264,0.01908,0.98,50,0,1.56451201766,0.31588081684,0.20483789734,0.48460991904,0.25995283694,1.2160192529,0,0,0
-0.03411,-0.00549,0.02055,-0.0396,0.02862,0.98,50,0,1.51777668014,0.31419074441,0.21097690201,0.47962189951,0.25743110086,1.2216413164,0,0,0
-0.04548,-0.00732,0.0274,-0.0528,0.03816,0.98,50,0,1.47104134262,0.31250067198,0.21711590668,0.47463387998,0.25490936478,1.2272633799,0,0,0
-0.05685,-0.00915,0.03425,-0.066,0.0477,0.98,50,0,1.4243060051,0.31081059955,0.22325491135,0.46964586045,0.2523876287,1.2328854434,0,0,0
-0.06822,-0.01098,0.0411,-0.0792,0.05724,0.98,50,0,1.37757066758,0.30912052712,0.22939391602,0.46465784092,0.24986589262,1.2385075069,0,1,1
-0.07959,-0.01281,0.04795,-0.0924,0.06678,0.98,50,0,1.33083533006,0.30743045469,0.23553292069,0.45966982139,0.24734415654,1.2441295704,0,1,1
-0.09096,-0.01464,0.0548,-0.1056,0.07632,0.98,50,0,1.28409999254,0.30574038226,0.24167192536,0.45468180186,0.24482242046,1.2497516339,0,1,1
-0.10233,-0.01647,0.06165,-0.1188,0.08586,0.98,50,0,1.23736465502,0.30405030983,0.24781093003,0.44969378233,0.24230068438,1.2553736974,0,1,1
-0.1137,-0.0183,0.0685,-0.132,0.0954,0.98,50,0,1.1906293175,0.3023602374,0.2539499347,0.4447057628,0.2397789483,1.2609957609,0,1,1
-0.11262,0.000900000000000001,0.06482,-0.11172,0.11351,0.98,50,0,1.21205967365,0.30229488922,0.25002975758,0.44216254647,0.24359896699,1.24343194067,0,1,1
-0.11154,0.0201,0.06114,-0.09144,0.13162,0.98,50,0,1.2334900298,0.30222954104,0.24610958046,0.43961933014,0.24741898568,1.22586812044,0,1,1
-0.11046,0.0393,0.05746,-0.07116,0.14973,0.98,50,0,1.25492038595,0.30216419286,0.24218940334,0.43707611381,0.25123900437,1.20830430021,0,1,1
-0.10938,0.0585,0.05378,-0.05088,0.16784,0.98,50,0,1.2763507421,0.30209884468,0.23826922622,0.43453289748,0.25505902306,1.19074047998,0,1,1
-0.1083,0.0777,0.0501,-0.0306,0.18595,0.98,50,0,1.29778109825,0.3020334965,0.2343490491,0.43198968115,0.25887904175,1.17317665975,0,1,1
-0.10722,0.0969,0.04642,-0.01032,0.20406,0.98,50,0,1.3192114544,0.30196814832,0.23042887198,0.42944646482,0.26269906044,1.15561283952,0,1,1
-0.10614,0.1161,0.04274,0.00996,0.22217,0.98,50,0,1.34064181055,0.30190280014,0.22650869486,0.42690324849,0.26651907913,1.13804901929,0,1,1
-0.10506,0.1353,0.03906,0.03024,0.24028,0.98,50,0,1.3620721667,0.30183745196,0.22258851774,0.42436003216,0.27033909782,1.12048519906,0,1,1
-0.10398,0.1545,0.03538,0.05052,0.25839,0.98,50,0,1.38350252285,0.30177210378,0.21866834062,0.42181681583,0.27415911651,1.10292137883,0,1,1
-0.1029,0.1737,0.0317,0.0708,0.2765,0.98,50,0,1.404932879,0.3017067556,0.2147481635,0.4192735995,0.2779791352,1.0853575586,0,1,1
-0.12032,0.21203,0.03102,0.09171,0.33226,0.98,50,0,1.39222113464,0.30289741775,0.21781627944,0.42084678594,0.27375139228,1.10987700307,0,1,1
-0.13774,0.25036,0.03034,0.11262,0.38802,0.98,50,0,1.37950939028,0.3040880799,0.22088439538,0.42241997238,0.26952364936,1.13439644754,0,1,1
-0.15516,0.28869,0.02966,0.13353,0.44378,0.98,50,0,1.36679764592,0.30527874205,0.22395251132,0.42399315882,0.26529590644,1.15891589201,0,1,1
-0.17258,0.32702,0.02898,0.15444,0.49954,0.98,50,0,1.35408590156,0.3064694042,0.22702062726,0.42556634526,0.26106816352,1.18343533648,0,1,1
-0.19,0.36535,0.0283,0.17535,0.5553,0.98,50,0,1.3413741572,0.30766006635,0.2300887432,0.4271395317,0.2568404206,1.20795478095,0,1,1
-0.20742,0.40368,0.02762,0.19626,0.61106,0.98,50,0,1.32866241284,0.3088507285,0.23315685914,0.42871271814,0.25261267768,1.23247422542,0,1,1
-0.22484,0.44201,0.02694,0.21717,0.66682,0.98,50,0,1.31595066848,0.31004139065,0.23622497508,0.43028590458,0.24838493476,1.25699366989,0,1,1
-0.24226,0.48034,0.02626,0.23808,0.72258,0.98,50,0,1.30323892412,0.3112320528,0.23929309102,0.43185909102,0.24415719184,1.28151311436,0,1,1
-0.25968,0.51867,0.02558,0.25899,0.77834,0.98,50,0,1.29052717976,0.31242271495,0.24236120696,0.43343227746,0.23992944892,1.30603255883,0,1,1
-0.2771,0.557,0.0249,0.2799,0.8341,0.98,50,0,1.2778154354,0.3136133771,0.2454293229,0.4350054639,0.235701706,1.3305520033,0,1,1
-0.27404,0.57541,0.02063,0.30137,0.84945,0.98,50,0,1.27054123539,0.31219600992,0.24573464438,0.43094990121,0.2357409758,1.32432729969,0,1,1
-0.27098,0.59382,0.01636,0.32284,0.8648,0.98,50,0,1.26326703538,0.31077864274,0.24603996586,0.42689433852,0.2357802456,1.31810259608,0,1,1
-0.26792,0.61223,0.01209,0.34431,0.88015,0.98,50,0,1.25599283537,0.30936127556,0.24634528734,0.42283877583,0.2358195154,1.31187789247,0,1,1
-0.26486,0.63064,0.00782,0.36578,0.8955,0.98,50,0,1.24871863536,0.30794390838,0.24665060882,0.41878321314,0.2358587852,1.30565318886,0,1,1
-0.2618,0.64905,0.00355,0.38725,0.91085,0.98,50,0,1.24144443535,0.3065265412,0.2469559303,0.41472765045,0.235898055,1.29942848525,0,1,1
-0.25874,0.66746,-0.000720000000000002,0.40872,0.9262,0.98,50,0,1.23417023534,0.30510917402,0.24726125178,0.41067208776,0.2359373248,1.29320378164,0,1,1
-0.25568,0.68587,-0.00499,0.43019,0.94155,0.98,50,0,1.22689603533,0.30369180684,0.24756657326,0.40661652507,0.2359765946,1.28697907803,0,1,1
-0.25262,0.70428,-0.00926,0.45166,0.9569,0.98,50,0,1.21962183532,0.30227443966,0.24787189474,0.40256096238,0.2360158644,1.28075437442,0,1,1
-0.24956,0.72269,-0.01353,0.47313,0.97225,0.98,50,0,1.21234763531,0.30085707248,0.24817721622,0.39850539969,0.2360551342,1.27452967081,0,1,1
-0.2465,0.7411,-0.0178,0.4946,0.9876,0.98,50,0,1.2050734353,0.2994397053,0.2484825377,0.394449837,0.236094404,1.2683049672,0,1,1
-0.22782,0.73051,-0.01681,0.50269,0.95832,0.98,50,0,1.23405284545,0.30158075558,0.24509773806,0.40121087771,0.23788798932,1.26777840436,0,1,1
-0.20914,0.71992,-0.01582,0.51078,0.92904,0.98,50,0,1.2630322556,0.30372180586,0.24171293842,0.40797191842,0.23968157464,1.26725184152,0,1,1
-0.19046,0.70933,-0.01483,0.51887,0.89976,0.98,50,0,1.29201166575,0.30586285614,0.23832813878,0.41473295913,0.24147515996,1.26672527868,0,1,1
